Timestamp,Raw_Residual_kWh,Filtered_Signal_kWh,Noise_Removed_kWh,Pulsar_Hue_Rate,Corrected_Energy,Gross_Expected_Energy
2018-12-01,1658.0,1703.9,-45.9,1.178009,4194,5852
2019-01-01,924.0,1674.5,-750.5,1.165686,4198,5121
2019-02-01,1815.0,1116.8,698.2,0.93215,4406,6221
2019-03-01,648.0,390.5,257.5,0.627933,2978,3625
2019-04-01,931.0,298.8,632.2,0.589555,1564,2495
2019-05-01,679.0,-138.7,817.7,0.406329,943,1621
2019-06-01,266.0,-384.2,650.2,0.303505,348,614
2019-07-01,208.0,-486.2,694.2,0.260801,238,447
2019-08-01,239.0,-419.5,658.5,0.28871,257,496
2019-09-01,695.0,-453.3,1148.3,0.274539,590,1286
2019-10-01,292.0,-578.9,870.9,0.221956,2110,2402
2019-11-01,844.0,-239.7,1083.7,0.363997,3224,4067
2019-12-01,1848.0,112.7,1735.3,0.511601,3737,5585
2020-01-01,1628.0,-711.5,2339.5,0.166427,4077,5705
2020-02-01,-1355.0,-1068.4,-286.6,0.016969,3742,2387
2020-03-01,709.0,-633.7,1342.7,0.19899,2732,3442
2020-04-01,1081.0,-609.4,1690.4,0.209199,1266,2347
2020-05-01,1313.0,-601.7,1914.7,0.212395,568,1880
2020-06-01,1027.0,-811.9,1838.9,0.12437,159,1186
2020-07-01,451.0,-962.7,1413.7,0.061197,95,546
2020-08-01,426.0,-956.8,1382.8,0.063677,49,475
2020-09-01,467.0,-988.6,1455.6,0.050354,129,596
2020-10-01,503.0,-754.2,1257.2,0.148551,863,1366
2020-11-01,2848.0,173.0,2675.0,0.536844,2095,4943
2020-12-01,3153.0,-119.1,3272.1,0.414525,2352,5505
2021-01-01,2015.0,-637.6,2652.6,0.197388,3619,5634
2021-02-01,2080.0,-749.8,2829.8,0.150382,3376,5456
2021-03-01,999.0,-1033.6,2032.6,0.03154,2902,3901
2021-04-01,845.0,-1050.2,1895.2,0.024588,1367,2212
2021-05-01,932.0,-1050.2,1982.2,0.024555,730,1662
2021-06-01,641.0,-1089.1,1730.1,0.008274,285,926
2021-07-01,377.0,-1106.1,1483.1,0.00116,79,456
2021-08-01,292.0,-1108.9,1400.9,8e-06,195,487
2021-09-01,309.0,-1106.6,1415.6,0.000945,481,789
2021-10-01,687.0,-1063.5,1750.5,0.018986,1754,2441
2021-11-01,1611.0,-845.3,2456.3,0.11038,2869,4480
2021-12-01,1899.0,-887.3,2786.3,0.092782,4177,6076
2022-01-01,-278.0,-1093.6,815.6,0.006404,5328,5050
2022-02-01,1347.0,-1026.0,2373.0,0.034718,3431,4778
2022-03-01,142.0,-1098.1,1240.1,0.004511,3093,3235
2022-04-01,126.0,-1104.4,1230.4,0.001858,3436,3562
2022-05-01,429.0,-1109.7,1538.7,-0.000367,2011,2441
2022-06-01,54.0,-1103.0,1157.0,0.00247,1083,1137
2022-07-01,73.0,-1102.1,1175.1,0.002856,427,500
2022-08-01,15.0,-1099.8,1114.8,0.003804,431,447
2022-09-01,-130.0,-1073.7,943.7,0.014714,800,670
2022-10-01,-1129.0,-885.8,-243.2,0.09343,2436,1307
2022-11-01,-794.0,-931.0,137.0,0.074493,6225,5431
2022-12-01,-792.0,-918.5,126.5,0.079736,6699,5907
2023-01-01,-1894.0,-507.7,-1386.3,0.251775,7764,5870
2023-02-01,-2065.0,-264.0,-1801.0,0.353822,7555,5490
2023-03-01,-2338.0,-15.5,-2322.5,0.457926,7049,4710
2023-04-01,-1372.0,-350.4,-1021.6,0.31764,3829,2457
2023-05-01,52.0,-894.5,946.5,0.089799,1535,1586
2023-06-01,126.0,-964.9,1090.9,0.060298,699,825
2023-07-01,29.0,-924.8,953.8,0.077106,418,447
2023-08-01,62.0,-917.6,979.6,0.080092,409,472
2023-09-01,-93.0,-863.6,770.6,0.102702,1056,964
2023-10-01,-1103.0,-454.3,-648.7,0.274154,2783,1679
2023-11-01,-663.0,-457.1,-205.9,0.272967,5301,4639
2023-12-01,-1060.0,-274.1,-785.9,0.349618,5950,4890
2024-01-01,-894.0,-154.6,-739.4,0.399667,5816,4922
2024-02-01,-926.0,-69.7,-856.3,0.435225,5924,4998
2024-03-01,-1888.0,697.7,-2585.7,0.756628,5085,3197
2024-04-01,-812.0,575.6,-1387.6,0.705475,3209,2397
2024-05-01,-295.0,282.1,-577.1,0.582531,1614,1319
2024-06-01,9.0,286.6,-277.6,0.584416,619,627
2024-07-01,95.0,402.0,-307.0,0.632748,352,447
2024-08-01,16.0,702.7,-686.7,0.758687,437,453
2024-09-01,-137.0,1099.9,-1236.9,0.925073,846,709
2024-10-01,-869.0,1981.4,-2850.4,1.294213,2574,1705
2024-11-01,-472.0,2468.7,-2940.7,1.498322,5759,5287
2024-12-01,-1130.0,3011.1,-4141.1,1.725474,6312,5182
2025-01-01,-3200.0,3557.2,-6757.2,1.954194,8571,5370
2025-02-01,-2372.0,3373.0,-5745.0,1.877061,7052,4679
2025-03-01,-2972.0,2920.9,-5892.9,1.687707,6014,3043
2025-04-01,-2115.0,2535.3,-4650.3,1.526203,3649,1534
2025-05-01,-500.0,2921.7,-3421.7,1.68802,2141,1641
2025-06-01,-48.0,2924.0,-2972.0,1.689014,866,818
2025-07-01,-109.0,2445.5,-2554.5,1.4886,571,462
2025-08-01,-161.0,1905.5,-2066.5,1.262435,611,450
2025-09-01,-503.0,1308.9,-1811.9,1.012567,1133,630
2025-10-01,-1016.0,617.3,-1633.3,0.722919,3282,2266
2025-11-01,-998.0,207.3,-1205.3,0.551239,5284,4286
2025-12-01,-1158.0,130.5,-1288.5,0.519044,6086,4929
2026-01-01,-3065.0,-733.8,-2331.2,0.157101,7845,4780
2026-02-01,-511.0,-456.9,-54.1,0.273044,5177,4666
2026-03-01,-1016.0,-69.5,-946.5,0.435283,3508,2492
2026-04-01,1736.0,415.1,1320.9,0.638272,612,2348
2026-05-01,578.0,1321.5,-743.5,1.017862,0,578
