Timestamp,Corrected Energy,Gross Expected Energy,Residuals
2018-12-01,4194,5852,1658
2019-01-01,4198,5121,924
2019-02-01,4406,6221,1815
2019-03-01,2978,3625,648
2019-04-01,1564,2495,931
2019-05-01,943,1621,679
2019-06-01,348,614,266
2019-07-01,238,447,208
2019-08-01,257,496,239
2019-09-01,590,1286,695
2019-10-01,2110,2402,292
2019-11-01,3224,4067,844
2019-12-01,3737,5585,1848
2020-01-01,4077,5705,1628
2020-02-01,3742,2387,-1355
2020-03-01,2732,3442,709
2020-04-01,1266,2347,1081
2020-05-01,568,1880,1313
2020-06-01,159,1186,1027
2020-07-01,95,546,451
2020-08-01,49,475,426
2020-09-01,129,596,467
2020-10-01,863,1366,503
2020-11-01,2095,4943,2848
2020-12-01,2352,5505,3153
2021-01-01,3619,5634,2015
2021-02-01,3376,5456,2080
2021-03-01,2902,3901,999
2021-04-01,1367,2212,845
2021-05-01,730,1662,932
2021-06-01,285,926,641
2021-07-01,79,456,377
2021-08-01,195,487,292
2021-09-01,481,789,309
2021-10-01,1754,2441,687
2021-11-01,2869,4480,1611
2021-12-01,4177,6076,1899
2022-01-01,5328,5050,-278
2022-02-01,3431,4778,1347
2022-03-01,3093,3235,142
2022-04-01,3436,3562,126
2022-05-01,2011,2441,429
2022-06-01,1083,1137,54
2022-07-01,427,500,73
2022-08-01,431,447,15
2022-09-01,800,670,-130
2022-10-01,2436,1307,-1129
2022-11-01,6225,5431,-794
2022-12-01,6699,5907,-792
2023-01-01,7764,5870,-1894
2023-02-01,7555,5490,-2065
2023-03-01,7049,4710,-2338
2023-04-01,3829,2457,-1372
2023-05-01,1535,1586,52
2023-06-01,699,825,126
2023-07-01,418,447,29
2023-08-01,409,472,62
2023-09-01,1056,964,-93
2023-10-01,2783,1679,-1103
2023-11-01,5301,4639,-663
2023-12-01,5950,4890,-1060
2024-01-01,5816,4922,-894
2024-02-01,5924,4998,-926
2024-03-01,5085,3197,-1888
2024-04-01,3209,2397,-812
2024-05-01,1614,1319,-295
2024-06-01,619,627,9
2024-07-01,352,447,95
2024-08-01,437,453,16
2024-09-01,846,709,-137
2024-10-01,2574,1705,-869
2024-11-01,5759,5287,-472
2024-12-01,6312,5182,-1130
2025-01-01,8571,5370,-3200
2025-02-01,7052,4679,-2372
2025-03-01,6014,3043,-2972
2025-04-01,3649,1534,-2115
2025-05-01,2141,1641,-500
2025-06-01,866,818,-48
2025-07-01,571,462,-109
2025-08-01,611,450,-161
2025-09-01,1133,630,-503
2025-10-01,3282,2266,-1016
2025-11-01,5284,4286,-998
2025-12-01,6086,4929,-1158
2026-01-01,7845,4780,-3065
2026-02-01,5177,4666,-511
2026-03-01,3508,2492,-1016
2026-04-01,612,2348,1736
2026-05-01,0,578,578
