Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,-0.9027773603644039,-0.8968306169052215,0.9508509917829424,0.9011459377028518,-0.10945763043584382,nan,-0.06288694030262801,-0.01961422309159397,0.02179734720129772,0.09317790365636712,0.3728824567068618,-0.01782083889416778,-0.01104911245088636,-0.02383173059599317,0.028634363343774047
y,-0.902777360364404,0.9999999999999998,0.8508420747589165,-0.9900506624891374,-0.9224189592602108,0.12918624859170152,nan,0.07266032399377774,0.003509980381196102,-0.027252356357886403,-0.11084546056297075,-0.3592548695033602,0.008445544605115068,0.009809472526215602,0.027755216984277215,-0.030708983091260567
z,-0.8968306169052214,0.8508420747589165,1.0,-0.8750622879149055,-0.7622316727265042,0.022187801024908173,nan,0.047667438119064647,0.009408687552643145,-0.008617741415294023,-0.0035576060815501885,-0.27646495991222786,0.0013994193686879702,0.018670651886667108,0.006227685545204991,-0.030393957226102362
r,0.9508509917829425,-0.9900506624891375,-0.8750622879149055,1.0,0.9344462129110264,-0.14442092016419647,nan,-0.07347107372218704,-0.009483199200691154,0.026301167746556293,0.12732429788987343,0.36653836336483,-0.011939126837822606,-0.010742127687013714,-0.028496941480573412,0.026335041017147717
hue,0.9011459377028518,-0.9224189592602108,-0.7622316727265043,0.9344462129110264,1.0,-0.06945158364098981,nan,-0.05084488500795705,-0.009168362725635383,0.022210777606552237,0.052924951482311626,0.3652188157648266,-0.018850498974113335,-0.004207984912127982,-0.006046381464399686,0.06979833073101602
gamma,-0.10945763043584382,0.12918624859170152,0.022187801024908173,-0.14442092016419647,-0.06945158364098983,1.0,nan,0.1657205469270323,0.06497112796493792,-0.03575666877149497,-0.9937572074326431,-0.03493804650738735,0.0008883931211502093,0.00022004234027279103,0.11940855924643823,0.2361388492782384
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.062886940302628,0.07266032399377773,0.047667438119064647,-0.07347107372218703,-0.05084488500795706,0.1657205469270323,nan,1.0,0.03574166748725071,-0.006688879263945887,-0.1537948030757012,-0.018308643984017846,-0.0020531547132657856,-0.02990062367230825,-0.02008736216968761,0.036062770832421494
sin(hue),-0.01961422309159397,0.003509980381196101,0.009408687552643145,-0.009483199200691152,-0.009168362725635383,0.06497112796493792,nan,0.03574166748725071,1.0,0.001837184794443249,-0.06679118207504839,-0.04385984017249444,-0.02116061679671712,-0.017453568134757347,-0.005045064448677288,0.051980730591506534
cos(hue),0.02179734720129772,-0.027252356357886403,-0.008617741415294023,0.026301167746556293,0.02221077760655224,-0.03575666877149498,nan,-0.006688879263945888,0.0018371847944432488,1.0,0.037045747914074036,0.003330746078920204,-0.004725292536183775,-0.03900849171411367,0.004865474588048477,0.018554986031304867
m0/gamma,0.09317790365636713,-0.11084546056297075,-0.0035576060815501885,0.12732429788987343,0.05292495148231162,-0.993757207432643,nan,-0.1537948030757012,-0.06679118207504837,0.03704574791407404,1.0,0.029207180958868328,0.0066754016999072945,0.002522403935795461,-0.11239504108204869,-0.23552291642050535
K_sync,0.3728824567068618,-0.35925486950336016,-0.2764649599122279,0.36653836336483,0.3652188157648267,-0.03493804650738735,nan,-0.018308643984017846,-0.04385984017249443,0.0033307460789202045,0.029207180958868328,1.0,-0.01079766191522588,-0.0013450727367170067,-0.005617255906369259,0.016420611015395336
F_pauli_x,-0.017820838894167784,0.00844554460511507,0.0013994193686879702,-0.011939126837822606,-0.018850498974113332,0.0008883931211502092,nan,-0.002053154713265786,-0.02116061679671712,-0.004725292536183775,0.0066754016999072945,-0.010797661915225878,1.0,0.14025870329982235,-0.34603336431764015,-0.4232730162312631
F_pauli_y,-0.011049112450886361,0.009809472526215602,0.018670651886667108,-0.010742127687013714,-0.004207984912127982,0.00022004234027279103,nan,-0.02990062367230825,-0.01745356813475735,-0.03900849171411367,0.002522403935795461,-0.0013450727367170065,0.14025870329982235,1.0,0.14618289993910125,-0.5052236918843932
F_pauli_z,-0.023831730595993174,0.027755216984277218,0.00622768554520499,-0.028496941480573412,-0.006046381464399687,0.11940855924643823,nan,-0.02008736216968761,-0.005045064448677288,0.004865474588048477,-0.11239504108204869,-0.00561725590636926,-0.3460333643176402,0.14618289993910125,1.0,0.41970278517950704
F_torsion,0.028634363343774047,-0.030708983091260567,-0.030393957226102362,0.026335041017147717,0.06979833073101602,0.2361388492782384,nan,0.0360627708324215,0.05198073059150655,0.018554986031304867,-0.23552291642050535,0.016420611015395336,-0.4232730162312631,-0.5052236918843932,0.419702785179507,1.0
