Feature,x,y,z,r,hue,gamma,m0,1/r^3,sin(hue),cos(hue),m0/gamma
x,0.9999999999999998,0.9999756774280265,0.9999762374046754,0.9999363877859917,0.999999999995102,0.26360667523702536,nan,-0.21577519769816766,-0.9994313686605363,0.9999999420107789,-0.26357653611237614
y,0.9999756774280265,1.0,0.9999999953437337,0.999990472312927,0.9999756989646109,0.2580440149363019,nan,-0.2143033304867389,-0.9993377815049892,0.9999763567153034,-0.2580196544734995
z,0.9999762374046754,0.9999999953437337,1.0,0.999990135682532,0.9999762587075116,0.2581327401005458,nan,-0.21436487321365377,-0.9993398460367305,0.9999769010411543,-0.25810831271760243
r,0.9999363877859917,0.999990472312927,0.9999901356825319,0.9999999999999998,0.9999364223868487,0.2547850387194555,nan,-0.21356640802396856,-0.9992509163007173,0.999937571469053,-0.25476306131266824
hue,0.999999999995102,0.9999756989646109,0.9999762587075116,0.9999364223868487,1.0,0.26360433975854847,nan,-0.21577481178854338,-0.9994313462898582,0.9999999422472656,-0.2635742034501269
gamma,0.26360667523702536,0.2580440149363019,0.2581327401005458,0.2547850387194555,0.26360433975854847,0.9999999999999999,nan,-0.6736132347461488,-0.2743674690504636,0.2634916692947968,-0.9999890322965796
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,-0.21577519769816766,-0.2143033304867389,-0.21436487321365374,-0.21356640802396856,-0.21577481178854338,-0.6736132347461488,nan,1.0,0.22426914231658207,-0.2156859655119626,0.6738122633733177
sin(hue),-0.9994313686605363,-0.9993377815049892,-0.9993398460367305,-0.9992509163007172,-0.9994313462898582,-0.2743674690504636,nan,0.2242691423165821,1.0,-0.9994198315863632,0.2743356349619447
cos(hue),0.9999999420107789,0.9999763567153033,0.9999769010411543,0.999937571469053,0.9999999422472657,0.2634916692947967,nan,-0.21568596551196262,-0.9994198315863632,1.0,-0.26346155083013145
m0/gamma,-0.26357653611237614,-0.2580196544734995,-0.2581083127176024,-0.25476306131266824,-0.2635742034501269,-0.9999890322965796,nan,0.6738122633733178,0.2743356349619447,-0.26346155083013145,1.0
