Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,d12,1/d12^2,1/d12^3,cos(d_hue)
x,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
y,nan,1.0,nan,0.9999999719961222,0.9999999996358498,nan,nan,-0.10102748352301763,-0.1367483705928713,-0.10527014097986405,-0.24260504305387312,nan,0.9964277827452915,-0.8797006875997821,-0.8128981549278202,0.03294385863110013
z,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
r,nan,0.9999999719961223,nan,1.0,0.9999999726240406,nan,nan,-0.10080966149627882,-0.13652075314344433,-0.10527278269676163,-0.24257276079300982,nan,0.9964367171218094,-0.8796664698884157,-0.8128512553243575,0.032914868728198494
hue,nan,0.9999999996358497,nan,0.9999999726240406,1.0,nan,nan,-0.10102574862889105,-0.13674603515824277,-0.10524684682217557,-0.2425968516636558,nan,0.9964289514446397,-0.8796935901100525,-0.8128893432134581,0.03294323210011606
gamma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
m0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/r^3,nan,-0.10102748352301762,nan,-0.10080966149627882,-0.10102574862889104,nan,nan,1.0,0.9795810779245622,-0.012925142023698667,0.08667014424414998,nan,-0.08232779356334186,0.14837394137205767,0.16621669413954587,-0.08242191440456123
1/r^2,nan,-0.1367483705928713,nan,-0.1365207531434443,-0.13674603515824277,nan,nan,0.9795810779245622,1.0,-0.013226237196476462,0.11667547676167439,nan,-0.11222437494132191,0.2009512641624727,0.22464919596890262,-0.10497767415690912
sin(hue),nan,-0.10527014097986405,nan,-0.10527278269676163,-0.10524684682217558,nan,nan,-0.012925142023698667,-0.013226237196476462,1.0,0.07256692069032682,nan,-0.07731830609249275,0.30792166217484124,0.3214684245970299,-0.016927583743064984
cos(hue),nan,-0.24260504305387312,nan,-0.2425727607930098,-0.2425968516636558,nan,nan,0.08667014424415,0.1166754767616744,0.07256692069032683,1.0,nan,-0.22394502012841014,0.278122166074097,0.3286125712200931,-0.00784190288863808
m0/gamma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
d12,nan,0.9964277827452914,nan,0.9964367171218094,0.9964289514446397,nan,nan,-0.08232779356334184,-0.11222437494132191,-0.07731830609249275,-0.22394502012841014,nan,1.0,-0.8379548633205015,-0.7617467140211123,0.03206701914739297
1/d12^2,nan,-0.8797006875997823,nan,-0.8796664698884155,-0.8796935901100525,nan,nan,0.14837394137205767,0.20095126416247272,0.30792166217484124,0.27812216607409707,nan,-0.8379548633205014,0.9999999999999998,0.9896609514003213,-0.013608230559268438
1/d12^3,nan,-0.8128981549278202,nan,-0.8128512553243575,-0.812889343213458,nan,nan,0.16621669413954587,0.22464919596890262,0.32146842459702996,0.3286125712200931,nan,-0.7617467140211123,0.9896609514003212,1.0,-0.011384717051583794
cos(d_hue),nan,0.03294385863110012,nan,0.032914868728198494,0.03294323210011606,nan,nan,-0.08242191440456122,-0.10497767415690912,-0.016927583743064984,-0.00784190288863808,nan,0.03206701914739296,-0.013608230559268438,-0.011384717051583794,1.0
