Feature,x,y,z,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
x,1.0,0.9581744920064048,-0.6005117200347786,0.9018969361564748,0.9416351377994682,-0.7224052463720947,-0.4280600232600137,-0.528407447550135,0.9809515507288601,-0.8836882451791962,0.7262613373950877,0.15646269786887743,0.42492141564269725,0.4298249075459858,0.9809514918574944,0.24847756626142764,-0.7672983270012644,0.9425709520414061,-0.6833180919560787
y,0.9581744920064048,1.0,-0.7684337028540302,0.9800393702327422,0.9498630772834099,-0.7453745696160309,-0.4743218540711179,-0.5805465532621557,0.9027312866109953,-0.9319246240373462,0.7527428203365004,0.023974136523378285,0.46512601431377837,0.47273233180598784,0.9027312041756533,-0.012890156773249806,-0.7250651458222783,0.9255812273374328,-0.7936095888358744
z,-0.6005117200347786,-0.7684337028540303,1.0,-0.7753877785854417,-0.7579415614037376,0.6708939638801437,0.2407593294637751,0.31364768220489886,-0.45433660262351355,0.8322550012481957,-0.6832463961287311,0.15776900891743886,-0.22639237971005813,-0.23523577725520645,-0.45433640934973507,0.4313953005015105,0.35617956449062044,-0.5449499828277665,0.7486856095128203
r,0.9018969361564747,0.9800393702327422,-0.7753877785854417,1.0,0.9101444620484772,-0.7020291382830284,-0.570006366940013,-0.6768691772562327,0.8360837198098132,-0.9093352090529978,0.7105953595911552,-0.021873357567243075,0.5583381651552883,0.5674115441499781,0.8360836594163271,-0.14025976796843495,-0.7112340399751056,0.9264853591948139,-0.8333358482760888
hue,0.9416351377994683,0.9498630772834098,-0.7579415614037377,0.9101444620484772,1.0,-0.7851597593228593,-0.40548206543107557,-0.5030991990138209,0.8654181791566992,-0.9872918672484379,0.7914782657413759,0.08964223442688452,0.39955810204702236,0.4056308421853993,0.8654180489878432,0.0611755484704124,-0.7243954001662737,0.9053075341494229,-0.7538508896620382
gamma,-0.7224052463720947,-0.7453745696160308,0.6708939638801438,-0.7020291382830284,-0.7851597593228594,1.0,0.3073764875474641,0.3771063006166252,-0.6620639787960089,0.7845623943796285,-0.9997149387587334,-0.03762287817235255,-0.30373616034157136,-0.30664605225754826,-0.6620640950492016,-0.009683077602674532,0.5337869886970739,-0.6749538839666607,0.7648947747807733
1/r^3,-0.42806002326001363,-0.47432185407111793,0.2407593294637751,-0.570006366940013,-0.4054820654310756,0.30737648754746405,1.0,0.9841971361061995,-0.41612993743757104,0.3994359685046847,-0.3096514950513164,-0.0011620758853747336,-0.9994455740687926,-0.9996004078215321,-0.4161300360421815,0.18820845505202843,0.3057813587524831,-0.6116555095416968,0.5095532346771925
1/r^2,-0.528407447550135,-0.5805465532621557,0.31364768220489886,-0.6768691772562329,-0.5030991990138209,0.37710630061662526,0.9841971361061995,1.0,-0.5118503671395539,0.4951465685407108,-0.38046982455552364,0.00814195176389947,-0.9807336636486899,-0.98321855678111,-0.5118504926682756,0.18471347217169914,0.42737375140989026,-0.7148037801386677,0.5924302475740284
sin(hue),0.9809515507288602,0.9027312866109952,-0.4543366026235135,0.8360837198098132,0.8654181791566992,-0.6620639787960089,-0.41612993743757104,-0.5118503671395539,1.0,-0.7827734956707055,0.6638306160913877,0.20045323302972354,0.41549905869349996,0.4190862600778459,0.9999999997629103,0.3684377098117093,-0.7633697738771132,0.9188022734577921,-0.6031987324472726
cos(hue),-0.8836882451791963,-0.9319246240373462,0.8322550012481957,-0.9093352090529978,-0.9872918672484379,0.7845623943796285,0.39943596850468466,0.4951465685407109,-0.7827734956707054,1.0,-0.7925213504917117,-0.03220276342895693,-0.3911198592484333,-0.39822925474382714,-0.7827733353759833,0.07184736526496827,0.6753768527008956,-0.8614125605823211,0.7858577886323481
m0/gamma,0.7262613373950877,0.7527428203365004,-0.6832463961287311,0.7105953595911552,0.7914782657413759,-0.9997149387587333,-0.30965149505131645,-0.38046982455552364,0.6638306160913877,-0.7925213504917117,1.0,0.03617936789288976,0.3057372197259618,0.3088799406253498,0.6638307307796116,0.0017397913975332883,-0.5374705404486629,0.6798668307213981,-0.7736537158766928
x/r^3,0.15646269786887743,0.023974136523378285,0.15776900891743886,-0.021873357567243075,0.08964223442688453,-0.037622878172352554,-0.0011620758853747336,0.00814195176389947,0.20045323302972354,-0.03220276342895692,0.03617936789288976,1.0,0.021724039657633202,0.02917672579644062,0.20045314449474652,0.6669851453087413,0.09302641427032127,0.17071419992095951,-0.10877369430720016
y/r^3,0.42492141564269725,0.46512601431377826,-0.22639237971005813,0.5583381651552883,0.3995581020470224,-0.30373616034157136,-0.9994455740687926,-0.9807336636486899,0.4154990586935,-0.39111985924843323,0.3057372197259618,0.021724039657633202,1.0,0.999603773676328,0.4154991546166272,-0.16462002196000797,-0.30088253901827616,0.6078824772554982,-0.5028074310130303
z/r^3,0.4298249075459858,0.47273233180598784,-0.23523577725520647,0.5674115441499781,0.40563084218539935,-0.30664605225754826,-0.9996004078215323,-0.98321855678111,0.4190862600778459,-0.39822925474382714,0.30887994062534985,0.029176725796440615,0.999603773676328,1.0,0.4190863565221387,-0.17105653163871926,-0.30034237034977795,0.6140561021817754,-0.5112704799043376
K_sync,0.9809514918574943,0.9027312041756532,-0.454336409349735,0.8360836594163271,0.8654180489878434,-0.6620640950492016,-0.4161300360421816,-0.5118504926682756,0.9999999997629103,-0.7827733353759833,0.6638307307796115,0.20045314449474652,0.4154991546166272,0.4190863565221387,1.0,0.36843778020276335,-0.7633699547342816,0.9188023154799125,-0.6031987316517055
F_pauli_x,0.24847756626142767,-0.012890156773249806,0.4313953005015105,-0.14025976796843495,0.06117554847041241,-0.009683077602674534,0.18820845505202843,0.18471347217169917,0.36843770981170926,0.07184736526496827,0.0017397913975332885,0.6669851453087413,-0.16462002196000794,-0.17105653163871928,0.3684377802027634,1.0,-0.2410789484848573,0.1680361385539233,0.1762891290289399
F_pauli_y,-0.7672983270012644,-0.7250651458222783,0.3561795644906204,-0.7112340399751056,-0.7243954001662738,0.5337869886970739,0.305781358752483,0.42737375140989026,-0.7633697738771132,0.6753768527008958,-0.5374705404486629,0.09302641427032127,-0.3008825390182762,-0.3003423703497779,-0.7633699547342816,-0.2410789484848573,1.0,-0.8226337074127344,0.5392805356415914
F_pauli_z,0.9425709520414061,0.9255812273374328,-0.5449499828277665,0.9264853591948139,0.9053075341494228,-0.6749538839666607,-0.6116555095416968,-0.7148037801386679,0.9188022734577922,-0.8614125605823211,0.6798668307213981,0.17071419992095951,0.6078824772554982,0.6140561021817753,0.9188023154799125,0.1680361385539233,-0.8226337074127344,1.0,-0.7565884646269809
F_torsion,-0.6833180919560787,-0.7936095888358744,0.7486856095128204,-0.8333358482760886,-0.7538508896620382,0.7648947747807733,0.5095532346771926,0.5924302475740285,-0.6031987324472726,0.7858577886323482,-0.773653715876693,-0.10877369430720016,-0.5028074310130302,-0.5112704799043377,-0.6031987316517055,0.17628912902893987,0.5392805356415914,-0.7565884646269809,0.9999999999999999
